Dates;time;number nodes
2016-06-03;4.52056595;29.35
2016-06-04;3.90861815;28.2
2016-07-01;2.06364005;66.1
2016-08-19;23.1100674;340.8
2016-11-18;58.0125464;411.65
2016-11-19;28.2454212;329.05
2017-02-02;25.06978855;268.05
2017-07-20;6.0224325;230.0
2017-09-14;46.8505272;1203.0
2017-11-11;45.5168082;1099.4
2017-12-26;3.68238505;99.7
2018-03-07;3.9589046;107.4
2018-05-15;4.27557735;110.15
2018-05-22;3.58787825;92.85
2018-09-28;5.4604151;103.25
2019-03-13;4.8498825;152.55
2019-04-05;2.97996625;101.05
2019-04-12;3.44372245;120.9
2019-05-30;2.8574726;102.45
2019-09-06;3.30306715;122.4
2019-09-13;2.9313852;109.1
2019-12-09;2.93863285;127.6
2020-03-12;2.29693955;111.0
2020-04-09;15.83189835;306.1
2020-04-10;3.98501595;153.4
2020-04-11;3.58616245;133.9
2020-05-08;8.98842915;207.5
2020-07-23;7.5990245;176.15
