Dates;time;number nodes
2014-09-03;1.33875745;19.6
2014-09-08;61.95567225;29.4
2014-09-12;65.97654985;29.4
2014-09-13;60.6468613;29.4
2014-09-17;4.6985107;18.45
2014-09-18;6.41335005;19.75
2014-09-25;1.42447375;19.95
2014-09-27;6.4270844;19.75
2014-09-28;nan;nan
2014-10-11;6.31706125;19.75
2016-06-03;3.47528825;27.05
2016-06-04;3.50426145;26.85
2016-07-01;0.794045;30.3
2016-08-19;0.7243985;27.65
2016-11-18;0.7243985;27.65
2016-11-19;2.62919785;26.4
2017-02-02;3.23739885;30.15
2017-07-20;0.73780595;30.25
2017-09-14;2.49663895;64.3
2017-11-11;2.718095;64.45
2017-12-26;0.82804665;26.45
2018-03-07;0.86221435;28.3
2018-05-15;0.884314;28.3
2018-05-22;0.89001435;28.4
2018-09-28;3.3138868;32.9
2019-03-13;2.10138495;32.5
2019-04-05;1.90929885;32.65
2019-04-12;1.9057593;32.6
2019-05-30;1.82934625;32.55
2019-09-06;1.82169125;32.6
2019-09-13;1.815968;32.7
2019-12-09;1.4225076;32.45
2020-03-12;1.2855034;32.4
2020-04-09;1.2847444;32.4
2020-04-10;1.28187685;32.4
2020-04-11;1.29036005;32.4
2020-05-08;1.2921678;32.4
2020-07-23;1.3178281;32.4
