Dates;time;number nodes
2014-09-03;9.75705325;28.1
2014-09-12;6.02468935;47.0
2014-09-13;9.98230365;87.1
2014-09-17;24.83073485;60.25
2014-09-18;20.68958205;33.2
2014-09-25;9.3436024;28.1
2014-09-27;7.1334896;48.75
2014-09-28;6.8063346;49.2
2014-10-11;7.140358;49.2
2016-06-03;24.07102725;146.65
2016-06-04;21.9401848;146.65
2016-07-01;5.6805877;142.55
2016-08-19;6.51361815;156.65
2016-11-18;6.51361815;156.65
2016-11-19;18.26975105;100.55
2017-02-02;11.8026779;45.25
2017-07-20;7.7616506;43.75
2017-09-14;2.19190835;54.35
2017-11-11;2.71903705;55.15
2017-12-26;2.49079395;45.6
2018-03-07;2.48743;48.25
2018-05-15;2.47851275;48.8
2018-05-22;2.3129918;48.8
2018-09-28;3.0370119;47.5
2019-03-13;1.469657;41.5
2019-04-05;1.38984075;45.15
2019-04-12;1.4936428;45.15
2019-05-30;1.38145775;45.2
2019-09-06;1.32227495;43.2
2019-09-13;1.47486555;48.65
2019-12-09;2.96182305;49.8
2020-03-12;1.17937565;45.9
2020-04-09;1.22072045;45.85
2020-04-10;1.20432675;45.85
2020-05-08;1.2588548;45.85
2020-07-23;1.31606335;45.9
