Dates;time;number nodes
2016-06-03;146.4150348;228.7
2016-06-04;121.1386786;194.6
2016-07-01;30.8464833;201.85
2016-08-19;34.7452803;237.15
2016-11-18;34.7452803;237.15
2017-02-02;116.398111182;628.454545455
2017-07-20;16.3285725;95.6
2017-09-14;20.46334225;97.25
2017-11-11;16.32330685;85.1
2017-12-26;23.75564355;150.65
2018-03-07;29.00658955;185.1
2018-05-15;22.6260309;146.35
2018-05-22;29.79719565;203.65
2018-09-28;40.44327405;121.8
2019-03-13;19.62478345;107.7
2019-04-05;16.88087015;101.05
2019-04-12;22.11109545;126.4
2019-05-30;19.36720965;117.7
2019-09-06;12.5836526;82.5
2019-09-13;18.7061754;122.5
2019-12-09;21.40632195;124.15
2020-03-12;14.2648374;115.95
2020-04-09;62.45140725;452.5
2020-04-10;17.252824;128.5
2020-04-11;15.7780139;121.6
2020-05-08;20.26074915;141.8
2020-07-23;19.35540475;129.9
