Dates;time;number nodes;success rate for implicit both hands;time for implicit both hands;success rate for implicit right hand;time for implicit right hand;success rate for implicit left hand;time for implicit left hand;success rate for explicit both hands;time for explicit both hands;success rate for explicit right hand;time for explicit right hand;success rate for explicit left hand;time for explicit left hand
2018-03-07;88.5504483;283.9;0.1881;0.00995865299702;0.5764;0.00489232280254;0.5722;0.00488863430023;0.4428;0.00818139660358;0.537;0.0050213383913;0.537;0.00493178238869
2018-05-15;210.40146855;483.6;0.1819;0.00947296140194;0.5884;0.00465870330334;0.5848;0.00460389399529;0.4462;0.00830678730011;0.5412;0.0051746614933;0.5412;0.00515618450642
2018-05-22;171.36029045;569.1;0.1808;0.0094403263092;0.5768;0.00469062700272;0.574;0.00464948339462;0.4388;0.00838689050674;0.5406;0.0051522865057;0.5406;0.00515917890072
2018-09-28;322.06632625;610.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2019-03-13;1260.5451589;10120.8;0.1797;0.00751365349293;0.5765;0.00378710441589;0.5736;0.00379661271572;0.4408;0.00558856709003;0.5261;0.00366056809425;0.5261;0.00362447319031
2019-04-05;1110.0034088;10767.4;0.1777;0.00691283459663;0.5771;0.00349213109016;0.5793;0.00350122210979;0.4492;0.0050007376194;0.5297;0.0033652520895;0.5297;0.0033727616787
2019-04-12;856.18092435;8511.5;0.1804;0.00703748259544;0.575;0.00349943900108;0.585;0.00351317789555;0.4478;0.0049974886179;0.5364;0.00342288341522;0.5364;0.00339748501778
2019-05-30;46.6667303;360.75;0.1163;0.00763859400749;0.4095;0.00447900738716;0.4108;0.00463255598545;0.3454;0.00536954369545;0.4244;0.00385619471073;0.4244;0.00395982961655
2019-09-06;55.1796611;422.85;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2019-09-13;40.73769635;301.3;0.1154;0.0073212692976;0.4103;0.00447816069126;0.4104;0.00451565599442;0.3436;0.00532552771568;0.4227;0.00382694489956;0.4227;0.00375367920399
2019-12-09;81.2751419;483.45;0.1166;0.00804995479584;0.4083;0.00469872431755;0.4109;0.00465311949253;0.3486;0.00570149128437;0.4258;0.0039931344986;0.4258;0.00402501211166
2020-04-09;180.56179135;819.35;0.031;0.00870374193192;0.0575;0.00652134954929;0.0521;0.00669324879646;0.2246;0.00666931135654;0.1048;0.00533148655891;0.1048;0.0053856020689
2020-04-10;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2020-04-11;155.8535741;712.0;0.0324;0.008372914505;0.0582;0.00631866395473;0.051;0.00619366416931;0.2142;0.00636325340271;0.1021;0.00515440092087;0.1021;0.00512247936726
2020-05-08;94.39102805;376.85;0.0314;0.00837649793625;0.055;0.00620745618343;0.0485;0.00633444635868;0.2226;0.00637044129372;0.0985;0.00517711415291;0.0985;0.00512949440479
2020-07-23;151.48799585;610.45;0.0329;0.00909912979603;0.0577;0.00800405380726;0.0514;0.0068672743082;0.2211;0.00711713790894;0.1054;0.00605606825352;0.1054;0.00545088970661
